DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
1/2/2019,9,4,14,5,7,6,0,92,9,1038,27.5,9,3,2,122,116,116,0,1,8.7,météo très défavorable
1/3/2019,7,2,15,1,5,5,0,72,10,1037,22.125,7,0,-2,116,116,116,0,1,8.7,météo très défavorable
1/4/2019,7,1,13,0,5,5,0,65,10,1037,43,7,0,-3,113,116,122,0,1,5.1,météo très défavorable
1/5/2019,6,1,9,0,4,4,0,81,10,1039,9.25,6,0,-1,116,116,116,0,1,8.7,météo très défavorable
1/6/2019,5,0,10,-1,4,3,0,91,8,1039,32.875,5,0,-2,143,116,116,0,1,8.7,météo très défavorable
1/9/2019,7,4,12,3,6,6,0.3,93,8,1030,41.375,7,5,2,143,116,176,0,1,6.9,météo très défavorable
1/10/2019,5,1,14,1,4,3,0,91,10,1029,25.375,5,1,-3,116,116,116,0,1,8.7,météo très défavorable
1/11/2019,7,1,7,0,5,5,0,87,10,1033,68.5,7,3,1,116,119,122,0,1,3.4,météo très défavorable
1/12/2019,9,5,5,5,8,7,0.4,94,8,1033,79.25,9,5,4,176,119,119,0,1,3.4,météo très défavorable
1/13/2019,10,9,10,9,10,10,1.2,95,9,1032,95.625,10,9,8,353,176,266,0,1,3.4,météo défavorable
1/16/2019,9,3,8,3,7,9,0.4,86,10,1019,46.625,9,8,1,116,116,176,0,1,5.2,météo très défavorable
1/17/2019,11,8,13,8,10,9,2.2,85,9.75,1020,49.125,11,8,6,296,176,176,0,1,8.7,météo défavorable
1/18/2019,10,6,5,5,8,8,0.8,88,10,1020,64.75,10,6,6,116,119,353,0,1,3.4,météo défavorable
1/19/2019,11,7,10,6,10,9,6.7,92,9.375,1015,76.875,11,7,5,293,353,176,0,1,3.4,météo défavorable
1/20/2019,11,6,6,6,10,9,2.5,93,9.75,1018,65,11,6,5,116,293,353,0,1,7,météo défavorable
1/23/2019,8,7,20,7,7,6,1.6,86,9.875,1007,74.5,8,6,4,296,353,353,0,1,3.5,météo très défavorable
1/24/2019,7,2,9,1,5,5,0.1,85,9.375,1019,30.5,7,0,0,116,116,116,0,1,8.7,météo très défavorable
1/25/2019,11,8,9,6,10,10,3.1,98,4.5,1023,99,11,9,7,266,266,122,0,1,4.9,météo défavorable
1/26/2019,12,9,9,8,11,10,0.6,96,5.25,1023,96,12,9,7,248,353,176,0,1,4.9,météo défavorable
1/27/2019,11,8,33,10,9,8,4.9,71,7.875,1014,74.125,11,7,4,296,353,353,0,1,8.2,météo défavorable
1/30/2019,9,6,15,6,8,8,4.1,78,10,1008,87,9,6,5,353,353,353,0,1,4.9,météo défavorable
1/31/2019,11,6,18,6,9,11,7.1,96,9.125,999,90.5,11,10,3,122,302,353,0,1,4.9,météo défavorable
2/1/2019,10,7,15,8,9,8,27.6,96,8.625,991,73.625,10,7,5,176,389,176,0,1,6.6,météo très défavorable
2/2/2019,6,5,25,5,6,5,0.9,84,9.875,1016,68.625,6,4,1,119,296,176,0,1,6.6,météo très défavorable
2/3/2019,7,3,15,2,6,7,0,74,10,1031,1.75,7,0,0,116,113,113,0,1,9.9,météo très défavorable
2/6/2019,15,10,6,9,13,13,0.4,97,4.125,1028,78.625,15,11,10,248,143,176,0,1,6.7,météo défavorable
2/7/2019,12,11,17,10,11,10,1,86,7.625,1025,60.5,12,9,9,116,176,176,0,1,6.7,météo défavorable
2/8/2019,14,8,13,7,12,12,0.1,90,7.875,1025,57.875,14,7,6,143,122,116,0,1,8.3,météo correcte
2/9/2019,11,10,10,9,11,11,4.1,84,15.875,1018,71.75,11,8,8,116,266,266,0,1,5,météo défavorable
2/10/2019,12,11,30,12,12,10,4.3,73,11.625,1022,74.75,12,8,9,116,296,176,0,1,6.7,météo défavorable
2/13/2019,13,5,9,4,10,10,0,74,12.5,1033,0,13,4,3,113,116,113,0,1,10.2,météo correcte
2/14/2019,15,7,14,5,11,13,0,85,13.75,1031,1.5,15,7,4,113,116,113,0,1,10.2,météo correcte
2/15/2019,17,7,12,6,12,15,0,77,12.875,1027,1.125,17,8,5,113,113,116,0,1,10.3,météo correcte
2/16/2019,17,9,11,7,14,15,0,79,14.625,1027,0.25,17,7,7,113,113,113,0,1,10.3,météo correcte
2/17/2019,16,8,12,6,13,15,0,65,15,1022,0.125,17,7,6,113,113,113,0,1,10.3,météo correcte
2/20/2019,18,8,10,6,14,15,0,85,8,1024,7.625,18,7,6,116,116,116,0,1,10.8,météo favorable
2/21/2019,18,9,11,7,14,16,0,77,10,1029,2.625,19,6,7,116,116,113,0,1,10.8,météo favorable
2/22/2019,19,11,9,9,16,19,0,61,10,1031,0,21,7,10,113,113,113,0,1,10.9,météo favorable
2/23/2019,19,13,11,10,17,16,0,78,18.375,1029,0,19,10,13,113,113,113,0,1,10.9,météo favorable
2/24/2019,20,10,4,9,16,17,0,79,11.25,1032,0,20,9,11,113,113,113,0,1,10.9,météo favorable
2/27/2019,25,13,8,11,20,25,0,62,10,1028,0.625,27,8,13,113,113,113,0,1,11,météo favorable
