DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
1/2/2019,7,6,13,6,6,6,0.6,72,10,1041,85.625,7,2,3,116,176,176,0,1,3,météo très défavorable
1/3/2019,6,6,7,6,6,6,1.3,79,10,1041,86.375,6,2,4,176,176,176,0,1,3,météo très défavorable
1/4/2019,5,4,14,4,5,4,0.4,84,10,1041,80.375,5,2,1,122,176,119,0,1,3,météo très défavorable
1/5/2019,6,6,17,6,6,6,0.7,91,10,1038,95.625,6,5,3,122,176,176,0,1,3,météo très défavorable
1/6/2019,6,5,11,5,6,6,1.7,90,7,1036,99,6,5,3,176,266,266,0,1,3,météo très défavorable
1/9/2019,7,5,26,6,7,5,3.1,69,9.75,1025,72.625,7,1,2,353,353,176,0,1,3.2,météo très défavorable
1/10/2019,6,3,6,2,5,5,0.7,81,8.375,1029,60.25,6,3,1,116,116,176,0,1,5,météo très défavorable
1/11/2019,9,7,17,5,9,8,3.7,95,6.375,1028,100,9,6,4,266,266,353,0,1,3.2,météo défavorable
1/12/2019,9,7,22,6,8,8,2.3,88,6.875,1028,89.375,9,7,3,119,122,266,0,1,3.2,météo défavorable
1/13/2019,10,8,30,9,10,8,3.3,87,5,1018,98.625,11,7,6,266,176,266,0,1,3.2,météo défavorable
1/16/2019,7,4,25,4,6,6,1.4,82,9,1017,82.625,7,6,0,119,119,122,0,1,3.3,météo très défavorable
1/17/2019,6,4,24,5,6,4,5.2,88,9.125,1015,67.625,6,3,-1,176,353,182,0.2,1,3.3,météo très défavorable
1/18/2019,5,2,10,2,4,3,0,88,10,1020,65.25,5,1,1,116,122,122,0,1,3.3,météo très défavorable
1/19/2019,4,0,18,-1,2,3,0,79,10,1017,45.75,4,0,-5,116,116,116,0,1,8.7,météo très défavorable
1/20/2019,3,0,9,-1,2,2,0,66,10,1021,28.375,3,0,-3,116,116,116,0,1,8.7,météo très défavorable
1/23/2019,1,-2,15,1,0,-2,4,98,5.75,1005,93.625,1,0,-6,338,332,332,2,1,3.3,météo très défavorable
1/24/2019,1,-2,9,-2,0,1,0.1,98,6.375,1014,87.5,1,1,-4,326,122,248,0.1,1,3.3,météo très défavorable
1/25/2019,2,0,16,0,1,0,6.3,99,5,1015,91.875,3,5,-3,143,143,296,0,1,3.4,météo très défavorable
1/26/2019,7,5,25,4,6,5,2.3,96,9.25,1014,94.5,7,6,2,119,122,176,0,1,3.4,météo très défavorable
1/27/2019,8,5,26,7,6,5,9.1,87,4.875,993,98.5,8,5,1,266,389,266,0,1,3.4,météo très défavorable
1/30/2019,2,0,18,1,2,0,13,95,5.625,996,76.125,2,1,-3,338,338,116,8.9,1,5.2,météo très défavorable
1/31/2019,0,-3,20,-3,-1,0,2.1,93,9.375,997,57.125,0,0,-6,116,116,119,0,1,5.2,météo très défavorable
2/1/2019,3,2,13,1,3,3,8.1,100,3.125,989,99.625,3,3,-2,317,248,248,4.6,1,3.4,météo très défavorable
2/2/2019,4,3,25,3,4,4,26.6,93,6.25,1009,100,4,2,-1,302,317,296,0,1,3.4,météo très défavorable
2/3/2019,5,2,14,2,5,4,5.5,88,9,1027,52.875,5,2,-1,317,116,119,3,1,7,météo très défavorable
2/6/2019,8,6,21,4,7,8,8.4,96,7.375,1025,88,8,7,2,122,266,266,0,1,3.5,météo très défavorable
2/7/2019,9,7,23,8,9,8,8,91,7.75,1015,80.125,9,7,3,296,302,116,0,1,5.2,météo défavorable
2/8/2019,10,9,34,8,10,10,8.9,82,6.75,1011,97.125,10,6,5,296,266,176,0,1,3.5,météo défavorable
2/9/2019,11,9,42,10,11,9,3.2,69,15,1007,76.125,11,7,5,302,176,176,0,1,3.5,météo défavorable
2/10/2019,10,7,35,10,8,7,4.6,82,11.125,1005,93.625,10,7,2,302,353,353,0,1,3.5,météo défavorable
2/13/2019,9,3,13,2,6,8,0,80,12.5,1036,9.625,9,2,0,116,116,116,0,1,10,météo très défavorable
2/14/2019,11,4,11,3,8,9,0,70,13.75,1035,7.75,11,4,2,116,116,116,0,1,10,météo très défavorable
2/15/2019,13,6,14,6,10,11,0,68,12.875,1032,0,13,6,4,113,113,113,0,1,10,météo correcte
2/16/2019,13,6,14,6,10,11,0,73,14.625,1026,19.875,13,5,4,113,116,116,0,1,10.5,météo correcte
2/17/2019,14,8,22,7,11,12,0,74,14.875,1024,59.125,14,5,5,122,122,116,0,1,10,météo correcte
2/20/2019,11,5,14,4,9,10,0,82,10,1024,41.25,11,5,2,116,116,116,0,1,10.6,météo très défavorable
2/21/2019,13,7,11,6,11,12,0,85,10,1031,29.5,13,7,5,116,116,116,0,1,10.7,météo correcte
2/22/2019,15,9,9,7,12,14,0,80,10,1036,10.875,15,10,9,116,116,116,0,1,10.7,météo correcte
2/23/2019,15,8,12,8,12,14,0,81,18.375,1036,2.875,15,8,6,116,113,113,0,1,10.7,météo correcte
2/24/2019,14,9,9,8,11,13,0,47,11.25,1037,4.125,14,2,8,113,113,116,0,1,10.8,météo correcte
2/27/2019,18,11,10,10,15,17,0,79,10,1031,0.25,18,10,10,113,113,116,0,1,10.9,météo favorable
2/28/2019,12,10,25,8,12,11,1.3,84,8.375,1022,53.125,12,8,8,116,116,353,0,1,7,météo défavorable
3/1/2019,10,8,18,9,9,8,6,83,9,1020,92.5,10,8,5,296,176,176,0,1,5.5,météo défavorable
3/2/2019,11,8,23,7,10,10,0.7,86,9,1019,76.25,11,8,5,116,176,176,0,1,5.5,météo défavorable
3/3/2019,13,11,33,10,13,12,3.5,83,8.25,1013,95.75,13,8,8,176,296,176,0,1,5.5,météo défavorable
3/6/2019,10,9,30,9,10,9,5.7,85,9.375,1005,93.5,11,9,5,122,302,296,0,1,5.6,météo défavorable
3/7/2019,11,9,41,8,10,9,13.8,72,7.875,1001,74.375,11,9,5,302,176,176,0,1,7.1,météo défavorable
3/8/2019,11,7,22,6,10,10,4.4,81,9.375,1015,73.375,11,5,5,296,116,176,0,1,7.1,météo défavorable
3/9/2019,12,10,36,9,12,11,0.5,82,8.75,1017,79.375,12,7,7,266,119,353,0,1,5.6,météo défavorable
3/10/2019,11,8,51,10,11,8,11.1,77,8.25,1017,79.625,11,8,3,302,353,176,0,1,7.1,météo défavorable
3/13/2019,10,8,37,6,10,8,1.8,70,9,1014,64.5,10,3,3,116,266,353,0,1,5.7,météo défavorable
3/14/2019,12,8,37,7,10,11,16.9,86,9.125,1015,81.25,12,8,4,176,302,353,0,1,5.7,météo très défavorable
3/15/2019,12,8,37,11,12,12,11.5,84,6.875,1011,98.75,12,9,8,302,296,266,0,1,5.7,météo défavorable
3/16/2019,11,10,32,11,11,11,4.1,80,9.625,1012,88.625,11,9,7,296,176,176,0,1,5.8,météo défavorable
3/17/2019,9,7,29,9,9,7,2.8,69,14.125,1011,65.25,9,5,4,266,116,353,0,1,8.8,météo défavorable
3/20/2019,13,8,11,6,12,12,0,84,10,1034,69.375,13,7,6,116,116,122,0,1,7.6,météo défavorable
