DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
1/2/2019,5,3,26,4,5,3,0,81,10,1036,29.625,5,2,-2,119,116,113,0,2,8.7,météo très défavorable
1/3/2019,4,1,24,0,3,1,0,68,10,1036,0.375,4,0,-4,113,113,113,0,2,8.7,météo très défavorable
1/4/2019,4,1,20,0,4,2,0,77,10,1037,12.125,4,0,-4,116,116,116,0,2,8.7,météo très défavorable
1/5/2019,4,1,21,0,3,3,0,81,10,1037,80.625,4,0,-4,119,122,122,0,2,3.3,météo très défavorable
1/6/2019,4,3,20,2,3,3,0.2,83,10,1035,80.25,4,1,-2,119,119,122,0,1,3.3,météo très défavorable
1/9/2019,4,2,23,2,4,2,7.7,85,9,1024,81.5,4,1,-3,182,371,362,1.9,1,3.4,météo très défavorable
1/10/2019,3,0,23,0,2,1,0.3,79,8.375,1025,76,3,0,-5,332,122,119,0.3,1,3.4,météo très défavorable
1/11/2019,3,-1,15,-3,1,2,0.1,81,10,1029,62.375,3,0,-6,116,116,119,0,2,6.9,météo très défavorable
1/12/2019,5,3,14,1,5,3,0.8,89,10,1029,94.875,5,2,0,311,176,176,0,1,3.4,météo très défavorable
1/13/2019,7,5,4,4,7,7,15,94,7.25,1026,100,7,6,4,302,296,176,0,2,3.4,météo très défavorable
1/16/2019,10,3,17,1,8,7,0,74,10,1022,15.625,10,3,1,116,116,116,0,3,8.7,météo très défavorable
1/17/2019,9,5,9,5,8,6,5,85,9.375,1018,51.5,9,4,4,116,293,176,0,3,3.4,météo très défavorable
1/18/2019,4,1,13,2,3,2,0.4,88,9.625,1019,53.75,4,0,-2,362,116,116,0.1,2,6.9,météo très défavorable
1/19/2019,6,1,7,0,4,4,0,77,10,1019,38.5,6,0,-1,116,116,116,0,1,8.7,météo très défavorable
1/20/2019,6,2,6,1,6,4,0.9,83,7,1017,60.75,6,1,1,116,116,266,0,2,3.4,météo très défavorable
1/23/2019,1,0,12,-1,1,0,13,97,3.75,1005,94.875,1,1,-4,122,395,338,10.7,1,3.5,météo très défavorable
1/24/2019,-1,-2,20,-2,-1,-2,0.8,87,8.25,1016,81.875,0,0,-8,326,116,326,0.7,1,3.5,météo très défavorable
1/25/2019,1,-4,12,-5,-1,-1,0.1,88,10,1021,40.625,1,0,-8,119,116,116,0,1,8.7,météo très défavorable
1/26/2019,4,1,5,-1,4,3,0.2,93,10,1021,78.375,4,3,1,122,122,116,0,2,7,météo très défavorable
1/27/2019,8,5,23,4,8,5,9.1,80,7.75,1010,71.125,8,3,1,116,176,356,0,3,3.5,météo très défavorable
1/30/2019,5,2,12,2,4,3,6.8,72,8.25,1005,86,5,0,-1,296,326,176,0.3,1,3.5,météo très défavorable
1/31/2019,7,3,24,1,6,6,3.9,82,8.75,1002,75.375,7,2,-1,116,116,266,0,1,3.5,météo très défavorable
2/1/2019,9,6,8,6,7,7,20.5,94,7,995,92.875,9,6,4,296,302,266,0,2,3.5,météo très défavorable
2/2/2019,5,3,22,2,5,3,13.1,90,7.875,1005,87.125,5,2,-1,116,266,302,0,1,3.5,météo très défavorable
2/3/2019,3,1,31,2,3,1,5.7,85,2.875,1025,87.75,3,0,-5,338,230,230,2.3,1,4.7,météo très défavorable
2/6/2019,10,5,5,3,8,8,0,74,10,1029,14.5,10,2,5,113,116,116,0,3,10,météo très défavorable
2/7/2019,12,5,10,3,9,10,0.4,74,8.75,1025,49,12,6,3,119,263,116,0,3,10,météo très défavorable
2/8/2019,12,5,9,4,9,10,0,80,10,1025,44.75,12,4,4,116,116,116,0,3,10,météo très défavorable
2/9/2019,15,8,15,6,12,12,0,68,17.5,1021,28.5,15,6,6,116,116,116,0,3,10.1,météo correcte
2/10/2019,11,9,30,9,11,9,5.7,67,11.875,1018,83.875,11,5,6,122,122,353,0,3,5,météo défavorable
2/13/2019,12,5,5,2,9,10,0,75,12.5,1036,4.125,12,1,5,116,113,116,0,3,10.6,météo très défavorable
2/14/2019,14,6,8,4,11,11,0,55,13.75,1037,6.125,14,1,5,116,116,116,0,3,10.6,météo correcte
2/15/2019,17,8,6,5,13,16,0,63,12.875,1033,4.75,17,5,8,116,113,113,0,4,10.6,météo correcte
2/16/2019,17,9,12,7,14,15,0,52,14.625,1031,3.375,18,3,8,113,113,116,0,4,10.7,météo correcte
2/17/2019,15,8,19,6,13,14,0,57,15,1029,2.625,15,3,6,116,113,113,0,4,10.7,météo correcte
2/20/2019,17,8,4,6,13,15,0,78,10,1027,4.375,17,7,7,116,116,116,0,4,10.8,météo correcte
2/21/2019,18,9,5,7,14,16,0,68,10,1031,3,18,7,9,116,116,116,0,4,10.8,météo favorable
2/22/2019,16,9,23,7,13,13,0,79,10,1032,1.625,16,8,7,116,113,116,0,4,10.9,météo correcte
2/23/2019,15,8,7,7,12,15,0,83,18.375,1031,32.75,16,7,8,119,116,113,0,4,10.1,météo correcte
2/24/2019,17,8,9,6,13,16,0,84,11.25,1033,19.625,17,11,7,116,116,113,0,4,10.9,météo correcte
2/27/2019,21,12,3,9,17,19,0,69,10,1030,0.375,22,8,12,116,113,113,0,5,11,météo favorable
2/28/2019,18,13,13,11,17,15,0,59,10,1026,7.125,18,7,13,113,116,116,0,5,11,météo favorable
3/1/2019,12,10,16,8,11,10,0.5,70,10,1026,58.625,12,6,9,116,122,176,0,3,7.1,météo défavorable
