DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
1/2/2019,12,10,46,9,12,10,0,53,10,1027,0.75,12,3,6,113,116,116,0,1,8.7,météo défavorable
1/3/2019,12,7,11,7,10,11,0,54,10,1029,6.625,12,2,5,116,116,116,0,1,8.7,météo défavorable
1/4/2019,10,7,12,7,9,9,0,49,10,1031,56.5,10,0,5,116,122,119,0,1,3.4,météo défavorable
1/5/2019,10,6,24,5,8,9,0,57,10,1029,29.125,10,1,2,116,116,113,0,1,8.7,météo défavorable
1/6/2019,11,8,30,8,10,10,0,61,10,1026,11.625,11,2,4,116,116,113,0,1,8.7,météo défavorable
1/9/2019,10,8,58,8,9,8,0,55,10,1016,0.875,10,2,2,113,113,116,0,1,8.7,météo défavorable
1/10/2019,8,6,18,5,8,7,0,48,10,1018,2,8,0,2,116,113,116,0,1,8.7,météo très défavorable
1/11/2019,9,5,16,5,7,8,0,51,10,1024,3.5,9,0,1,116,116,116,0,1,8.7,météo très défavorable
1/12/2019,10,6,28,5,8,9,0,63,10,1024,8.375,10,2,1,116,116,116,0,1,8.7,météo défavorable
1/13/2019,14,10,51,10,12,14,0,65,10,1021,12.625,14,6,6,116,116,116,0,1,8.7,météo correcte
1/16/2019,13,11,17,10,12,12,0.5,79,10,1021,29.75,13,8,8,116,116,116,0,1,8.7,météo correcte
1/17/2019,12,11,19,12,12,12,3.6,82,10,1018,57.75,12,9,10,353,353,116,0,1,5.2,météo défavorable
1/18/2019,10,8,41,8,8,8,0,61,10,1015,14.125,10,2,3,116,116,116,0,1,8.7,météo défavorable
1/19/2019,11,7,8,6,11,10,0,62,10,1016,33.25,11,3,6,119,116,116,0,1,8.7,météo défavorable
1/20/2019,10,9,17,8,10,10,1.8,77,9,1015,65,10,5,6,116,122,266,0,1,3.5,météo défavorable
1/23/2019,8,6,22,5,7,7,0.8,65,8.875,1003,79.25,8,1,4,116,266,200,0,1,3.5,météo très défavorable
1/24/2019,7,5,30,5,7,5,0,51,10,1006,26.75,7,0,1,116,116,116,0,1,8.7,météo très défavorable
1/25/2019,8,4,39,3,7,7,0,50,10,1013,6.875,8,0,-2,116,116,116,0,1,8.7,météo très défavorable
1/26/2019,13,7,38,6,11,12,0,58,10,1014,17,13,4,3,116,116,116,0,1,8.7,météo correcte
1/27/2019,12,9,42,8,12,11,0.1,74,10,1011,54.375,12,5,7,119,119,116,0,1,7,météo défavorable
1/30/2019,8,6,42,7,7,8,6.3,56,9.625,1005,20.875,8,3,1,116,113,116,0,1,8.7,météo très défavorable
1/31/2019,11,8,20,8,11,11,1,70,8.25,1003,78.5,11,7,6,176,119,176,0,1,5.4,météo défavorable
2/1/2019,14,13,32,12,13,13,15.9,91,7.375,997,88.375,14,12,10,266,302,176,0,1,3.7,météo défavorable
2/2/2019,12,10,9,11,10,10,8.5,80,9.125,999,87.125,12,8,9,176,356,176,0,1,3.7,météo défavorable
2/3/2019,9,7,59,7,9,7,0.7,62,10,1016,35.625,9,2,1,116,116,116,0,1,8.7,météo défavorable
2/6/2019,15,9,10,9,13,14,0,52,10,1025,3.375,15,1,8,113,113,116,0,1,8.7,météo correcte
2/7/2019,13,10,15,9,12,12,0,53,10,1024,32.625,13,6,10,122,119,116,0,1,8.7,météo correcte
2/8/2019,13,9,19,9,11,12,0,66,10,1023,43,13,7,7,119,119,116,0,1,7.1,météo correcte
2/9/2019,14,12,11,11,13,14,0.2,87,18.375,1022,54.25,14,11,11,119,176,116,0,1,8.4,météo correcte
2/10/2019,13,11,22,11,12,13,0.1,87,14.375,1020,50.5,13,9,9,116,176,116,0,1,8.4,météo correcte
2/13/2019,14,10,21,8,13,13,0,56,12.5,1035,2.125,14,6,8,116,113,113,0,1,10.7,météo correcte
2/14/2019,16,12,10,10,14,16,0,56,13.75,1036,2.5,16,6,10,116,116,116,0,1,10.7,météo correcte
2/15/2019,16,12,8,10,15,15,0,50,12.875,1033,3.375,16,4,12,116,113,113,0,1,10.7,météo correcte
2/16/2019,17,14,9,13,17,17,0,47,14.625,1031,0,17,7,14,113,113,113,0,1,10.7,météo correcte
2/17/2019,14,13,15,12,14,12,0,65,15,1030,0.5,14,7,12,113,113,116,0,1,10.8,météo correcte
2/20/2019,14,12,10,10,14,13,0,75,10,1027,1.5,14,8,11,116,113,113,0,1,10.9,météo correcte
2/21/2019,14,13,11,12,14,14,0,75,10,1029,1,14,8,12,116,113,113,0,1,10.9,météo correcte
2/22/2019,20,12,13,11,16,18,0,61,10,1029,1.875,20,8,10,113,116,113,0,1,10.9,météo favorable
2/23/2019,16,15,18,15,16,13,0,57,18.375,1031,1.125,16,8,14,113,116,113,0,1,10.9,météo correcte
2/24/2019,14,11,16,10,14,13,0,57,11.25,1034,8.875,14,6,11,116,116,113,0,1,11,météo correcte
2/27/2019,17,16,9,15,16,15,0,56,10,1027,2,17,10,16,116,113,116,0,1,11.1,météo correcte
2/28/2019,20,14,32,14,17,19,0,61,10,1025,12.25,20,9,13,113,113,119,0,1,11.1,météo favorable
3/1/2019,17,14,38,13,16,16,0,54,10,1021,6,17,6,11,116,113,113,0,1,11.1,météo correcte
3/2/2019,16,11,33,11,14,16,0,63,10,1019,10.5,16,6,9,116,116,116,0,1,11.1,météo correcte
3/3/2019,16,12,14,11,15,13,0,62,10,1021,6.5,16,8,10,116,116,116,0,1,11.2,météo correcte
3/6/2019,15,13,39,12,14,14,0,75,10,1016,43.625,15,11,11,116,116,122,0,1,8.6,météo correcte
3/7/2019,15,13,24,13,14,14,1.6,63,9.375,1015,40.75,15,11,11,263,116,116,0,1,11.3,météo correcte
3/8/2019,15,13,21,12,14,14,0,65,10,1023,6.875,15,6,12,116,116,116,0,1,11.3,météo correcte
3/9/2019,15,12,26,11,14,14,0,61,10,1026,13.625,17,10,10,116,116,116,0,1,11.4,météo correcte
3/10/2019,18,14,38,13,17,17,0,77,10,1025,22.125,18,10,13,116,116,116,0,1,11.4,météo favorable
3/13/2019,14,11,44,11,13,14,0,56,10,1021,19.5,14,9,8,116,113,116,0,1,11.6,météo correcte
3/14/2019,14,11,45,10,13,13,0,54,10,1022,22,14,5,7,116,116,116,0,1,11.6,météo correcte
3/15/2019,18,14,40,12,17,17,0,62,10,1020,10.375,18,7,13,116,116,116,0,1,11.6,météo favorable
3/16/2019,17,13,30,12,16,16,0,63,10,1020,0.5,17,8,11,113,113,113,0,1,11.6,météo correcte
3/17/2019,16,13,23,13,15,16,0,78,17.625,1016,7.875,17,10,11,113,116,116,0,1,11.6,météo correcte
3/20/2019,14,12,17,11,14,14,0,49,10,1029,10.25,14,3,12,116,116,116,0,1,11.6,météo correcte
3/21/2019,17,13,10,12,16,16,0,44,10,1030,1,17,6,12,113,113,113,0,1,11.6,météo correcte
3/22/2019,19,16,12,14,19,17,0,42,10,1029,1.625,19,7,16,113,113,116,0,1,11.6,météo favorable
3/23/2019,20,15,9,13,19,18,0,50,10,1028,27.5,20,6,15,116,116,116,0,1,11.6,météo favorable
3/24/2019,20,18,12,17,20,18,0,43,10,1025,2.125,20,7,18,113,116,113,0,1,11.6,météo favorable
3/27/2019,15,13,14,12,15,15,0,42,10,1027,4.5,15,5,13,116,116,116,0,1,11.6,météo correcte
3/28/2019,15,14,15,13,15,14,0,46,18.375,1028,4.5,15,5,14,116,116,116,0,1,11.6,météo correcte
3/29/2019,16,15,17,12,16,14,0,47,20,1030,6.25,16,5,14,116,113,116,0,1,11.6,météo correcte
3/30/2019,15,13,15,12,15,15,0,55,20,1029,9.25,15,7,12,116,116,116,0,1,11.6,météo correcte
3/31/2019,16,15,11,14,16,16,0,47,11.25,1023,6.25,16,8,15,116,116,116,0,1,11.6,météo correcte
4/3/2019,13,9,30,12,13,12,11.1,78,8,1012,80.25,13,9,11,263,353,356,0,1,6.5,météo défavorable
4/4/2019,11,8,30,8,10,11,5.3,63,9.25,1002,35.125,13,4,5,176,116,116,0,1,11.6,météo défavorable
4/5/2019,13,11,20,8,13,13,0,52,10,1004,11.125,13,6,10,116,116,116,0,1,11.6,météo correcte
4/6/2019,12,10,33,11,11,10,40.5,80,8.5,1005,79.625,12,7,7,119,308,353,0,1,6.5,météo très défavorable
4/7/2019,14,11,17,9,13,14,0.1,63,10,1009,21.5,14,6,10,116,116,116,0,1,11.6,météo correcte
4/10/2019,16,14,9,13,15,14,2.6,67,7,1008,77.25,16,8,14,266,353,266,0,1,6.6,météo défavorable
4/11/2019,17,14,21,13,16,17,0.9,67,9.375,1011,62.875,17,9,12,116,116,353,0,1,7.8,météo correcte
4/12/2019,16,14,10,13,15,15,1.7,70,7.5,1014,67.375,16,9,13,116,176,263,0,1,6.6,météo défavorable
4/13/2019,17,13,25,12,15,16,0.1,60,10,1015,14.375,17,6,12,116,116,113,0,1,13.2,météo correcte
4/14/2019,15,11,37,10,13,14,0,35,10,1016,11.625,15,0,7,116,116,116,0,1,13.6,météo correcte
4/17/2019,16,15,19,13,16,15,0,60,10,1022,11,16,9,15,116,116,116,0,1,13.7,météo correcte
4/18/2019,18,16,35,13,18,18,0,55,10,1022,44,18,7,15,119,119,116,0,1,12.1,météo correcte
4/19/2019,19,17,36,16,19,18,0,46,10,1027,20.875,19,7,17,116,116,116,0,1,13.8,météo favorable
4/20/2019,20,17,31,15,19,19,0,47,10,1027,37.625,20,7,17,116,116,122,0,1,12.1,météo favorable
4/21/2019,20,19,32,18,19,19,0,43,10,1022,39.625,20,8,19,116,119,116,0,1,12.2,météo correcte
4/24/2019,15,14,41,14,15,14,7.3,81,9.875,1014,55.875,15,12,11,353,353,116,0,1,11,météo correcte
4/25/2019,16,14,42,13,16,15,5.3,76,9.625,1015,56.5,16,11,12,116,176,116,0,1,9.9,météo correcte
4/26/2019,16,15,30,14,16,16,19.3,51,9.125,1021,41.75,16,11,14,356,116,116,0,1,13.3,météo très défavorable
